timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2022-11-03 13:33:01.68		start_recording
MSG	2022-11-03 13:33:01.68		image_on
MSG	2022-11-03 13:33:01.69		Recording_Amir.avi
2022-11-03 13:33:01.792	1049470944	False	7	1065.6243	203.5783	1002.8538	189.2298	22.16755	1050.0486	221.6023	1050.0486	221.6023	22.0454	0.3832	0.5626	1081.1998	185.5544	1081.1998	185.5544	22.2897	0.6177	0.5439
2022-11-03 13:33:01.825	1049470977	False	7	1133.8854	199.253	1035.4126	193.3325	22.42225	1131.9133	175.7825	1091.0332	198.6632	22.0688	0.3849	0.5628	1135.8574	222.7235	1108.5635	204.1627	22.7757	0.6192	0.5448
2022-11-03 13:33:01.858	1049471010	False	7	1108.406	172.1855	1052.8994	193.0617	22.39935	1067.6991	153.5136	1083.2915	183.5105	22.2866	0.3855	0.5635	1149.1129	190.8574	1122.1838	199.7403	22.5121	0.6199	0.5456
2022-11-03 13:33:01.891	1049471043	False	7	1147.3669	196.0266	1065.9458	193.1315	22.540100000000002	1136.7668	197.8419	1096.8016	187.0389	22.53	0.3858	0.5639	1157.9672	194.2114	1131.2958	198.3522	22.5502	0.62	0.5459
2022-11-03 13:33:01.924	1049471076	False	7	1144.9258	229.2736	1115.6713	197.039	22.77675	1153.3302	213.4279	1108.3794	192.3509	22.7752	0.3857	0.5644	1136.5215	245.1192	1132.48	207.8454	22.7783	0.6196	0.5465
2022-11-03 13:33:01.958	1049471110	False	7	1121.4089	251.0118	1134.2174	210.2827	23.271549999999998	1113.2418	269.9164	1113.2418	269.9164	23.4685	0.385	0.5654	1129.5762	232.1071	1129.5762	232.1071	23.0746	0.6188	0.5469
2022-11-03 13:33:01.991	1049471143	False	7	641.2859	163.2049	887.4373	186.7138	23.228299999999997	589.196	180.0565	589.196	180.0565	23.5402	0.3788	0.5652	693.3757	146.3532	693.3757	146.3532	22.9164	0.6129	0.5465
2022-11-03 13:33:02.024	1049471176	False	7	301.9617	116.3223	747.7529	170.9472	24.13715	274.2814	115.8179	431.5379	147.8963	24.6813	0.3743	0.5654	329.6421	116.8266	511.2769	131.5711	23.593	0.6074	0.5464
2022-11-03 13:33:02.058	1049471210	False	7	305.3727	122.1136	662.6071	161.6465	23.8059	295.2499	133.8967	385.6482	143.1554	24.2061	0.3733	0.5655	315.4956	110.3306	445.4304	124.4358	23.4057	0.6063	0.5465
2022-11-03 13:33:02.091	1049471243	False	7	294.3689	122.8202	604.6783	155.4102	23.4508	276.0785	139.069	357.6388	142.0663	23.8983	0.3718	0.5657	312.6593	106.5714	411.4623	119.8841	23.0033	0.6047	0.5464
2022-11-03 13:33:02.125	1049471277	False	7	315.5017	124.1454	370.5151	129.2915	23.5011	310.7688	132.316	347.6588	140.034	23.9343	0.3703	0.5661	320.2346	115.9748	392.355	119.0267	23.0679	0.603	0.5463
2022-11-03 13:33:02.158	1049471310	False	7	305.8337	113.9496	305.3727	124.1454	23.014	307.6089	105.4251	307.6089	105.4251	23.0845	0.3686	0.5665	304.0587	122.4741	304.0587	122.4741	22.9435	0.6011	0.5462
